"Component","Region","Time_Scale","Lag1","Slope","Pvalue","CI_Lower","CI_Upper","Units","CI_formatted","Conclusion","Interpretation"
"EKE","Fram Strait (76-82°N, 15°W-15°E)","DJF",0.124725528187885,1.63250021870716,0.0712128213206199,-1.61125771980915,1.56631675133798,"m²/s²","[-1.6113, 1.5663]","Not Significant","No significant change"
"EKE","Svalbard/Barents (74-81°N, 10°W-35°E)","DJF",0.102125227198885,0.855319319718314,0.199172696497986,-1.37465204676676,1.29070755462327,"m²/s²","[-1.3747, 1.2907]","Not Significant","No significant change"
"EKE","Pan-Arctic (≥60°N)","MAM",0.0752277273130798,0.141734651644626,0.400244963044496,-0.342343131300618,0.340567730544821,"m²/s²","[-0.3423, 0.3406]","Not Significant","No significant change"
"EKE","Fram Strait (76-82°N, 15°W-15°E)","MAM",0.133859039867188,1.22630690794767,0.0822621581471096,-0.951816413525196,0.978698979331135,"m²/s²","[-0.9518, 0.9787]","Not Significant","No significant change"
"EKE","Svalbard/Barents (74-81°N, 10°W-35°E)","MAM",0.187370696918951,0.93895872760953,0.0991142423861402,-0.87376854314087,0.859058354702883,"m²/s²","[-0.8738, 0.8591]","Not Significant","No significant change"
"EKE","Pan-Arctic (≥60°N)","JJA",0.29372863742451,0.332514005402753,0.0645458339177849,-0.264548844021459,0.28289846599861,"m²/s²","[-0.2645, 0.2829]","Not Significant","No significant change"
"EKE","Fram Strait (76-82°N, 15°W-15°E)","JJA",0.0843570527705267,-0.203288597488119,0.352511163784784,-0.696473962831833,0.687776313303034,"m²/s²","[-0.6965, 0.6878]","Not Significant","No significant change"
"EKE","Svalbard/Barents (74-81°N, 10°W-35°E)","JJA",0.0761395859327029,-0.224873640060008,0.308547213877935,-0.498225453124461,0.478296937160743,"m²/s²","[-0.4982, 0.4783]","Not Significant","No significant change"
"EKE","Pan-Arctic (≥60°N)","SON",-0.0712069331042024,0.174762026282758,0.245169724894346,-0.236094344982117,0.241948314792151,"m²/s²","[-0.2361, 0.2419]","Not Significant","No significant change"
"EKE","Fram Strait (76-82°N, 15°W-15°E)","SON",-0.11941305199765,0.19224874574325,0.833436692034205,-0.791424880256662,0.791269412624728,"m²/s²","[-0.7914, 0.7913]","Not Significant","No significant change"
"EKE","Svalbard/Barents (74-81°N, 10°W-35°E)","SON",-0.155230240982363,-0.165524935147003,0.499573673458891,-0.618936478277702,0.625110069952268,"m²/s²","[-0.6189, 0.6251]","Not Significant","No significant change"
"EKE","Pan-Arctic (≥60°N)","DJFM",-0.0521752641657408,0.0956924349946291,0.240703558354829,-0.289247655043953,0.288794262742969,"m²/s²","[-0.2892, 0.2888]","Not Significant","No significant change"
"EKE","Fram Strait (76-82°N, 15°W-15°E)","DJFM",0.197144555276145,1.68602336058967,0.0661622920438022,-1.39982710362784,1.39143733266992,"m²/s²","[-1.3998, 1.3914]","Not Significant","No significant change"
"EKE","Svalbard/Barents (74-81°N, 10°W-35°E)","DJFM",0.15176635714917,0.966584311785601,0.180488262557807,-1.2307700923983,1.14296720925293,"m²/s²","[-1.2308, 1.1430]","Not Significant","No significant change"
"EKE","Pan-Arctic (≥60°N)","FMA",-0.117372473242962,0.0013438523706681,0.665988457351881,-0.327737516460742,0.322172495948736,"m²/s²","[-0.3277, 0.3222]","Not Significant","No significant change"
"EKE","Fram Strait (76-82°N, 15°W-15°E)","FMA",0.203711198982212,1.13015961051521,0.263614393081446,-1.43137898419991,1.41584222330325,"m²/s²","[-1.4314, 1.4158]","Not Significant","No significant change"
"EKE","Svalbard/Barents (74-81°N, 10°W-35°E)","FMA",0.149023267636314,0.618047497341045,0.330055388010491,-1.11995366099549,1.08961363336637,"m²/s²","[-1.1200, 1.0896]","Not Significant","No significant change"
"MKE/EKE Ratio","Pan-Arctic (≥60°N)","DJF",0.0694249182060033,-0.00359273283872403,0.187799486012558,-0.00701387031511826,0.00689227436654091,"dimensionless","[-0.0070, 0.0069]","Not Significant","No significant change"
"MKE/EKE Ratio","Fram Strait (76-82°N, 15°W-15°E)","DJF",0.0426137615542714,-0.00484915134105771,0.364093257258358,-0.0152243047455316,0.0155046569325565,"dimensionless","[-0.0152, 0.0155]","Not Significant","No significant change"
"MKE/EKE Ratio","Svalbard/Barents (74-81°N, 10°W-35°E)","DJF",0.0562233666264848,-0.01289645145699,0.0501042563983227,-0.0149430702945488,0.0148278988933612,"dimensionless","[-0.0149, 0.0148]","Not Significant","No significant change"
"MKE/EKE Ratio","Pan-Arctic (≥60°N)","MAM",0.068509094237615,0.00551251103628699,0.254275702144034,-0.00688761486022649,0.00706983753799661,"dimensionless","[-0.0069, 0.0071]","Not Significant","No significant change"
"MKE/EKE Ratio","Fram Strait (76-82°N, 15°W-15°E)","MAM",0.0475594219427002,0.00122192795808665,0.96468692682932,-0.010993199547586,0.010757358681818,"dimensionless","[-0.0110, 0.0108]","Not Significant","No significant change"
"MKE/EKE Ratio","Svalbard/Barents (74-81°N, 10°W-35°E)","MAM",0.0165893070177535,0.00413087824190916,0.739854339641709,-0.0109445460482052,0.010664833405218,"dimensionless","[-0.0109, 0.0107]","Not Significant","No significant change"
"MKE/EKE Ratio","Pan-Arctic (≥60°N)","JJA",-0.0868658714187011,0.00382223705719493,0.159824386099715,-0.004797731836364,0.00488392045212512,"dimensionless","[-0.0048, 0.0049]","Not Significant","No significant change"
"MKE/EKE Ratio","Fram Strait (76-82°N, 15°W-15°E)","JJA",0.127064664654157,0.000680349927640081,1,-0.0154178328699616,0.015576754577213,"dimensionless","[-0.0154, 0.0156]","Not Significant","No significant change"
"MKE/EKE Ratio","Svalbard/Barents (74-81°N, 10°W-35°E)","JJA",0.0622070380866553,0.00304539408115499,0.799056168803881,-0.0136874779757763,0.0140637943943018,"dimensionless","[-0.0137, 0.0141]","Not Significant","No significant change"
"MKE/EKE Ratio","Pan-Arctic (≥60°N)","SON",0.0896213542214966,-0.00379783116775989,0.227649927040259,-0.00559262337627464,0.00525948057227424,"dimensionless","[-0.0056, 0.0053]","Not Significant","No significant change"
"MKE/EKE Ratio","Fram Strait (76-82°N, 15°W-15°E)","SON",-0.186396572486327,4.18802120296866e-05,0.587582789440007,-0.0108243007422336,0.0104408167862059,"dimensionless","[-0.0108, 0.0104]","Not Significant","No significant change"
"MKE/EKE Ratio","Svalbard/Barents (74-81°N, 10°W-35°E)","SON",-0.209224833718828,-0.0011212830034653,0.799056168803881,-0.0107057024558417,0.010841789321318,"dimensionless","[-0.0107, 0.0108]","Not Significant","No significant change"
"MKE/EKE Ratio","Pan-Arctic (≥60°N)","DJFM",-0.0869774587786381,-0.00406333518811676,0.0903725359726148,-0.00639353369214385,0.00604681983150451,"dimensionless","[-0.0064, 0.0060]","Not Significant","No significant change"
"MKE/EKE Ratio","Fram Strait (76-82°N, 15°W-15°E)","DJFM",0.0230346108127477,-0.00363624094399882,0.36997250828549,-0.0138585382786943,0.0136186672173477,"dimensionless","[-0.0139, 0.0136]","Not Significant","No significant change"
"MKE/EKE Ratio","Svalbard/Barents (74-81°N, 10°W-35°E)","DJFM",0.00702088078436592,-0.00798071866394428,0.0991142423861402,-0.0123098661292475,0.0120409557806103,"dimensionless","[-0.0123, 0.0120]","Not Significant","No significant change"
"MKE/EKE Ratio","Pan-Arctic (≥60°N)","FMA",0.0276032270077019,0.00138820245455324,0.929442991164351,-0.00748327522338524,0.00723594444748951,"dimensionless","[-0.0075, 0.0072]","Not Significant","No significant change"
"MKE/EKE Ratio","Fram Strait (76-82°N, 15°W-15°E)","FMA",0.034145903520697,-0.00371475854598217,0.400244963044496,-0.0126561419035913,0.0129938864547786,"dimensionless","[-0.0127, 0.0130]","Not Significant","No significant change"
"MKE/EKE Ratio","Svalbard/Barents (74-81°N, 10°W-35°E)","FMA",-0.000467697776991505,-0.0046462006886476,0.352511163784784,-0.0131084302414941,0.0131178730289257,"dimensionless","[-0.0131, 0.0131]","Not Significant","No significant change"
